            column_name             |   table_name   
------------------------------------+----------------
 customer_id                        | customers
 user_name                          | customers
 user_email                         | customers
 user_registered_time               | customers
 user_status                        | customers
 user_mobile                        | customers
 referred_by                        | customers
 swiggy_money                       | customers
 referral_used                      | customers
 device_id                          | customers
 device_type                        | customers
 app_version                        | customers
 user_agent                         | customers
 os_version                         | customers
 is_verified                        | customers
 subscribed_to_sms                  | customers
 subscribed_to_email                | customers
 disabled_reason                    | customers
 id                                 | campaign
 campaign_name                      | campaign
 campaign_description               | campaign
 message_title                      | campaign
 message                            | campaign
 channel                            | campaign
 segment                            | campaign
 platform                           | campaign
 campaign_time                      | campaign
 created_on                         | campaign
 total_num                          | campaign
 successful                         | campaign
 clicked                            | campaign
 current_count                      | campaign
 done                               | campaign
 order_id                           | orders
 customer_id                        | orders
 order_ordered_time                 | orders
 order_type                         | orders
 order_bill                         | orders
 order_spending                     | orders
 order_incoming                     | orders
 order_total                        | orders
 order_tax                          | orders
 order_discount                     | orders
 order_swiggy_money_used            | orders
 order_user_agent                   | orders
 order_de_bill                      | orders
 order_de_incoming                  | orders
 order_de_spending                  | orders
 order_payment_txn_status           | orders
 order_converted_to_cod             | orders
 order_last_failed_order_id         | orders
 order_pg_response_time             | orders
 order_is_partner_order             | orders
 order_delivery_partner             | orders
 order_restaurant_trade_discount    | orders
 order_swiggy_trade_discount        | orders
 order_system_value_restaurant      | orders
 id                                 | user_behaviour
 push                               | user_behaviour
 id                                 | user_device
 customer_id                        | user_device
 push_id                            | user_device
 app_id                             | user_device
 os                                 | user_device
 os_version                         | user_device
 os_api_level                       | user_device
 device                             | user_device
 model                              | user_device
 manufacturer                       | user_device
 product                            | user_device
 density_dpi                        | user_device
 width                              | user_device
 height                             | user_device
 mac_address                        | user_device
 imei                               | user_device
 carrier                            | user_device
 device_tz                          | user_device
 device_tz_offset                   | user_device
 device_ts                          | user_device
 has_play_services                  | user_device
 play_services_version              | user_device
 bundled_play_services_version_code | user_device
 android_id                         | user_device
 created_on                         | user_device
 updated_on                         | user_device
(85 rows)

